symbol,name,logo_url 
FANG,Diamondback Energy Inc.,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Diamondback_Energy%2C_Logo_2022.svg/250px-Diamondback_Energy%2C_Logo_2022.svg.png
FAST,Fastenal Company,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Fastenal_logo.svg/250px-Fastenal_logo.svg.png
FTNT,Fortinet Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Fortinet_logo.svg/250px-Fortinet_logo.svg.png
GEHC,GE HealthCare Technologies Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/GE_HealthCare_logo_2023.svg/330px-GE_HealthCare_logo_2023.svg.png
GFS,GlobalFoundries Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/GF_logo_horz_rgb_R_2025.svg/250px-GF_logo_horz_rgb_R_2025.svg.png
GILD,Gilead Sciences Inc.,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Gilead_Sciences_Logo.svg/250px-Gilead_Sciences_Logo.svg.png
GOOG,Alphabet Inc. Class C,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Alphabet_Inc_Logo_2015.svg/250px-Alphabet_Inc_Logo_2015.svg.png
GOOGL,Alphabet Inc. Class A,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Alphabet_Inc_Logo_2015.svg/250px-Alphabet_Inc_Logo_2015.svg.png
HON,Honeywell International Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Honeywell_logo.svg/250px-Honeywell_logo.svg.png
IDXX,IDEXX Laboratories Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/IDEXX_Labs.svg/250px-IDEXX_Labs.svg.png
INTC,Intel Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Intel_logo_2023.svg/250px-Intel_logo_2023.svg.png
INTU,Intuit Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Intuit-logo-super-blue_%281%29.png/250px-Intuit-logo-super-blue_%281%29.png
ISRG,Intuitive Surgical Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Intuitive_Surgical_logo.svg/250px-Intuitive_Surgical_logo.svg.png
KDP,Keurig Dr Pepper Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Keurig_Dr_Pepper.svg/250px-Keurig_Dr_Pepper.svg.png
KHC,The Kraft Heinz Company,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/KraftHeinz.svg/250px-KraftHeinz.svg.png
KLAC,KLA Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/KLA_Corp._logo.svg/250px-KLA_Corp._logo.svg.png
LIN,Linde plc,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Linde_plc_logo.png/250px-Linde_plc_logo.png
LRCX,Lam Research Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Lam_Research_logo.svg/250px-Lam_Research_logo.svg.png
LULU,lululemon athletica inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Lululemon_Athletica_logo.svg/120px-Lululemon_Athletica_logo.svg.png
MAR,Marriott International,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Marriott_International.svg/250px-Marriott_International.svg.png
MCHP,Microchip Technology Incorporated,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Microchip_logo.svg/250px-Microchip_logo.svg.png
MDLZ,Mondelez International Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Mondelez_International.svg/250px-Mondelez_International.svg.png
MELI,MercadoLibre Inc.,https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Mercado_Livre_logo_%28Portuguese_version%29.svg/250px-Mercado_Livre_logo_%28Portuguese_version%29.svg.png
META,Meta Platforms Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Meta_Platforms_Inc._logo.svg/330px-Meta_Platforms_Inc._logo.svg.png
MNST,Monster Beverage Corporation,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Monster_Beverage_logo.png/250px-Monster_Beverage_logo.png
MRVL,Marvell Technology Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Marvell_Logo.svg/250px-Marvell_Logo.svg.png
MSFT,Microsoft Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/330px-Microsoft_logo_%282012%29.svg.png
MSTR,Strategy Inc,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Strategy_logo_%282025%29.svg/250px-Strategy_logo_%282025%29.svg.png
MU,Micron Technology Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Micron_Technology_logo_2024.svg/250px-Micron_Technology_logo_2024.svg.png
NFLX,Netflix Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Netflix_2015_logo.svg/250px-Netflix_2015_logo.svg.png
NVDA,NVIDIA Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/NVIDIA_logo.svg/330px-NVIDIA_logo.svg.png
NXPI,NXP Semiconductors N.V.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/NXP_Semiconductors_logo_2023.svg/250px-NXP_Semiconductors_logo_2023.svg.png
ODFL,Old Dominion Freight Line Inc.,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Old_Dominion_Freight_Line%2C_Inc._Logo.png/250px-Old_Dominion_Freight_Line%2C_Inc._Logo.png
ON,ON Semiconductor Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Onsemi_logo_2021.svg/250px-Onsemi_logo_2021.svg.png
ORLY,O'Reilly Automotive Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/O%27Reilly_Auto_Parts_Logo.svg/250px-O%27Reilly_Auto_Parts_Logo.svg.png
PANW,Palo Alto Networks Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/PaloAltoNetworks_2020_Logo.svg/250px-PaloAltoNetworks_2020_Logo.svg.png
PAYX,Paychex Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Paychex_logo.svg/250px-Paychex_logo.svg.png
PCAR,PACCAR Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Paccar_Inc_logo.svg/250px-Paccar_Inc_logo.svg.png
PDD,PDD Holdings Inc.,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Pinduoduo_logo.svg/250px-Pinduoduo_logo.svg.png
PEP,PepsiCo Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/PepsiCo_%282025%2C_wordmark%29.svg/250px-PepsiCo_%282025%2C_wordmark%29.svg.png
PLTR,Palantir Technologies Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Palantir_Technologies_logo.svg/250px-Palantir_Technologies_logo.svg.png
PYPL,PayPal Holdings Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/PayPal_2024.svg/250px-PayPal_2024.svg.png
QCOM,QUALCOMM Incorporated,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Qualcomm-Logo.svg/330px-Qualcomm-Logo.svg.png
REGN,Regeneron Pharmaceuticals Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Regeneron_logo.svg/250px-Regeneron_logo.svg.png
ROP,Roper Technologies Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Roper_Technologies_logo.svg/250px-Roper_Technologies_logo.svg.png
ROST,Ross Stores Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Ross_Stores_logo.svg/250px-Ross_Stores_logo.svg.png
SBUX,Starbucks Corporation,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Starbucks_Corporation_Logo_2011.svg/250px-Starbucks_Corporation_Logo_2011.svg.png
SHOP,Shopify Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Shopify_logo_2018.svg/250px-Shopify_logo_2018.svg.png
SNPS,Synopsys Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Synopsys_Logo.svg/250px-Synopsys_Logo.svg.png
TEAM,Atlassian Corporation,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Atlassian-horizontal-blue-rgb.svg/250px-Atlassian-horizontal-blue-rgb.svg.png
TMUS,T-Mobile US Inc.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/T-Mobile_US_Logo_2022_RGB_Magenta_on_Transparent.svg/250px-T-Mobile_US_Logo_2022_RGB_Magenta_on_Transparent.svg.png
